cod_ibge;municipio;uf;local_mapa;latitude;longitude;acessos;share_regional;share_grande;delta_regional_pp;lider;share_lider;n_prestadoras;dens_100hab
5107040;Primavera do Leste;MT;Primavera do Leste, MT, Brasil;-15,544;-54,2811;30962,0;76,7;18,8;21,7;Brasil TecPar;59,2;32;31,3
5107065;Querência;MT;Querência, MT, Brasil;-12,6093;-52,1821;8307,0;85,6;0,5;48,4;Norte.Net Telecom;49,0;18;25,7
5107156;Reserva do Cabaçal;MT;Reserva do Cabaçal, MT, Brasil;-15,0743;-58,4585;198,0;78,8;6,6;63,5;V. P. Net Informatica;68,2;6;10,0
5107180;Ribeirão Cascalheira;MT;Ribeirão Cascalheira, MT, Brasil;-12,9367;-51,8244;1060,0;33,6;3,3;33,0;Starlink;61,0;10;10,0
5107198;Ribeirãozinho;MT;Ribeirãozinho, MT, Brasil;-16,4856;-52,6924;649,0;88,9;1,2;4,1;Hi-Teach Informatica;74,9;8;23,4
5107206;Rio Branco;MT;Rio Branco, MT, Brasil;-15,2483;-58,1259;759,0;92,1;2,9;62,7;Neonet;64,2;8;17,3
5107578;Rondolândia;MT;Rondolândia, MT, Brasil;-10,8376;-61,4697;413,0;43,8;2,2;43,8;Starlink;50,8;10;11,8
5107602;Rondonópolis;MT;Rondonópolis, MT, Brasil;-16,4673;-54,6372;91687,0;52,9;45,4;36,3;Oi;25,7;45;34,2
5107701;Rosário Oeste;MT;Rosário Oeste, MT, Brasil;-14,8259;-56,4236;2666,0;63,8;1,2;63,7;Asces-Net;45,2;11;18,0
5107750;Salto do Céu;MT;Salto do Céu, MT, Brasil;-15,1303;-58,1317;492,0;73,0;3,0;71,9;Hard Tech Informatica;50,2;7;13,5
5107248;Santa Carmem;MT;Santa Carmem, MT, Brasil;-11,9125;-55,2263;2492,0;88,8;0,5;83,5;I R Fibranet;61,2;10;42,2
